Submission Timestamp,Empty Column,Do you run your node from home?,"If no or partial, what is the reason?",Do you track your node bandwidth usage?,What do you use to track your node bandwidth usage?,Would increased bandwidth usage have an adverse effect on your ability to run a node from home?,What are your internet download speeds?,What are your internet upload speeds?,Do you have an overall data ceiling / cap?,DownloadSpeed_Range,UploadSpeed_Range,DownloadSpeed_SortKey,UploadSpeed_SortKey
2024-09-27T20:00:26.333Z,,Yes,Not applicable,Yes,Grafana,Yes,300,20,,'101-500,'11-50,4,2
2024-09-27T20:04:40.090Z,,Yes,Not applicable,No,Not applicable,Yes,1000,30,,'501-1000,'11-50,5,2
2024-09-27T20:44:29.776Z,,Yes,Not applicable,No,"I don’t have any speed problems on the whole network, so it’s not something I pay attention to",No,300,100,,'101-500,'51-100,4,3
2024-09-27T20:45:57.143Z,,Yes,,Yes,On the CLI I use vnstat and overall for the network I use monitoring on the router,No,500,500,,'101-500,'101-500,4,4
2024-09-27T20:49:08.539Z,,Yes,,No,,No,920,100,0,'501-1000,'51-100,5,3
2024-09-27T20:50:17.526Z,,Yes,,Yes,Modem app,,186,37,,'101-500,'11-50,4,2
2024-09-27T20:59:13.142Z,,Yes,,Yes,Grafana,No,1000,1000,,'501-1000,'501-1000,5,5
2024-09-27T21:08:37.528Z,,Yes,,Yes,Grafana,No,,,0,,,,
2024-09-27T21:10:17.474Z,,Yes,Not applicable,Yes,ISP monitoring,Yes,1200,35,1200,'1001-5000,'11-50,6,2
2024-09-27T22:52:48.121Z,,No,Bandwidth concerns,Yes,Grafana,Yes,200,20,,'101-500,'11-50,4,2
2024-09-27T23:04:53.800Z,,Yes,"Rant: While I can manage an increase in bandwidth requirements, I stake ETH, not because it is the token which will get the bigest return, or the largest gas throughput, but because it is the network in which, as long as the gas is paid, everyone's transactions go through. And until we get Inclusion Lists working, the only way to mantain that censorship resistants is to foster Home Stakers, anywhere they are (and with the bandwidth they can get)",Yes,Grafana,No,1000,600,0,'501-1000,'501-1000,5,5
2024-09-27T23:15:20.959Z,,Yes,Not applicable,No,Not applicable,Yes,300,300,0,'101-500,'101-500,4,4
2024-09-27T23:37:04.491Z,,Yes,,No,Not applicable,Unsure,1200,35,,'1001-5000,'11-50,6,2
2024-09-28T00:11:54.822Z,,Yes,Not applicable,Yes,Grafana,Yes,,,,,,,
2024-09-28T00:29:52.862Z,,Yes,,Yes,Modem app,Unsure,100,100,,'51-100,'51-100,3,3
2024-09-28T02:04:04.193Z,,Partially,Both bandwidth and uptime,Yes,Modem app,Yes,,,,,,,
2024-09-28T02:52:31.690Z,,Yes,Not applicable,Yes,Modem app,Unsure,1200,35,,'1001-5000,'11-50,6,2
2024-09-28T03:21:53.646Z,,Yes,,No,Not applicable,Unsure,934,935,,'501-1000,'501-1000,5,5
2024-09-28T05:23:37.135Z,,Yes,,No,,Yes,800,500,,'501-1000,'101-500,5,4
2024-09-28T05:37:21.624Z,,Yes,,No,Not applicable,No,1000,1000,999999,'501-1000,'501-1000,5,5
2024-09-28T06:38:13.328Z,,Yes,,Yes,Grafana,Yes,70,12,,'51-100,'11-50,3,2
2024-09-28T06:42:00.904Z,,Yes,,Yes,Modem app,Yes,50,9,,'11-50,'0-10,2,1
2024-09-28T06:51:05.060Z,,Yes,,Yes,Grafana,No,1500,500,,'1001-5000,'101-500,6,4
2024-09-28T07:52:48.905Z,,Yes,Not applicable,Yes,vnstat,Yes,125,22,,'101-500,'11-50,4,2
2024-09-28T08:31:52.398Z,,Yes,Not applicable,Yes,Grafana,No,1000,1000,,'501-1000,'501-1000,5,5
2024-09-28T09:29:09.581Z,,Yes,,Yes,Grafana,Yes,300,50,,'101-500,'11-50,4,2
2024-09-28T10:05:01.476Z,,Yes,,No,Not applicable,No,1000,200,,'501-1000,'101-500,5,4
2024-09-28T11:45:37.145Z,,Yes,Not applicable,Yes,Firewall,No,1000,1000,,'501-1000,'501-1000,5,5
2024-09-28T12:10:39.125Z,,Yes,Not applicable,Yes,Grafana,No,,,,,,,
2024-09-28T12:17:29.734Z,,Yes,Not applicable,No,Not applicable,Yes,,,,,,,
2024-09-28T14:05:10.495Z,,Yes,,Yes,Grafana,No,300,300,,'101-500,'101-500,4,4
2024-09-28T14:40:18.860Z,,Yes,Not applicable,No,Not applicable,Unsure,450,10,,'101-500,'0-10,4,1
2024-09-28T14:56:06.432Z,,Yes,Not applicable,Yes,ISP monitoring,No,1000,1000,,'501-1000,'501-1000,5,5
2024-09-28T15:44:19.394Z,,Yes,,Yes,"grafana, nload",Yes,30,3,,'11-50,'0-10,2,1
2024-09-28T15:53:32.057Z,,Yes,,Yes,Grafana,No,600,300,,'501-1000,'101-500,5,4
2024-09-28T18:05:39.977Z,,Yes,,Yes,Grafana,No,566.34,12.95,,'501-1000,'11-50,5,2
2024-09-28T18:08:47.619Z,,Yes,Not applicable,No,Not applicable,Unsure,500,100,0,'101-500,'51-100,4,3
2024-09-28T20:28:42.914Z,,Yes,,Yes,I check with vnstat periodically.,No,600,80,,'501-1000,'51-100,5,3
2024-09-29T00:03:26.927Z,,Yes,,Yes,ISP monitoring,Yes,,,,,,,
2024-09-29T00:25:08.804Z,,Yes,,No,Not applicable,Yes,300,10,,'101-500,'0-10,4,1
2024-09-29T05:29:56.830Z,,Yes,Not applicable,Yes,Router port statistics and Grafana,Unsure,1000,1000,,'501-1000,'501-1000,5,5
2024-09-29T07:44:04.230Z,,Yes,,No,,No,1000,1000,,'501-1000,'501-1000,5,5
2024-09-29T08:16:46.986Z,,Yes,Not applicable,Yes,"vnstat, Grafana, router UI",Unsure,150,150,,'101-500,'101-500,4,4
2024-09-29T08:58:07.270Z,,Yes,Not applicable,No,Not applicable,No,300,300,,'101-500,'101-500,4,4
