What is your gender? (Optional),"Would you consider yourself having had a technical background, either in education or work experience? (Optional)",Are you employed in crypto? (Optional),What region are you staking from? (Optional)
Female,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Female,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Female,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Female,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Female,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Not sure / I'm not the operator
Female,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Female,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Female,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Female,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
Female,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Female,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",
Female,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Female,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",East Asia
Female,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Southeast Asia
Female,Strongly technical,,Southeast Asia
Female,Not technical,"No, but I work in a related field",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Strongly technical,I do some freelance or contract work but have another main source of income,North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",South America
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Europe
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,I do some freelance or contract work but have another main source of income,North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",South America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Australia (continent)
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, but I work in a related field",North America
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"Yes, crypto is my full-time job",East Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Australia (continent)
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",East Asia
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",North America
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,I do some freelance or contract work but have another main source of income,North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Australia (continent)
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,I do some freelance or contract work but have another main source of income,North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
